energy	'P3HT=0'	'5'	'10'	'15'	'20'	'30'	'40'	'50'	'60'	'70'	'80'	'90'	'95'	'100'
2.844036697247706	0.25065	0.21761	0.20884	0.1935	0.19733	0.20067	0.18235	0.17647	0.20891	0.22365	0.24093	0.26415	0.2372	0.26076
2.837528604118993	0.24147	0.2111	0.20366	0.18932	0.19275	0.19836	0.1816	0.17669	0.20844	0.22495	0.24317	0.26574	0.24018	0.26447
2.831050228310502	0.23411	0.20596	0.19937	0.18534	0.18859	0.19475	0.17901	0.1759	0.20944	0.22464	0.24395	0.27035	0.24301	0.26856
2.824601366742597	0.22625	0.19966	0.19464	0.18052	0.1845	0.19176	0.17764	0.1756	0.2082	0.2253	0.24486	0.27311	0.24665	0.27354
2.818181818181818	0.21816	0.19418	0.18921	0.17694	0.18078	0.18898	0.17552	0.17451	0.20801	0.22576	0.24606	0.27558	0.24908	0.2779
2.811791383219955	0.20959	0.1878	0.18361	0.17057	0.17679	0.18379	0.17294	0.17295	0.20849	0.22387	0.24681	0.27767	0.25194	0.28117
2.805429864253393	0.20062	0.18058	0.17864	0.16655	0.17176	0.18111	0.17182	0.17229	0.20801	0.22482	0.24863	0.28094	0.25577	0.28452
2.799097065462754	0.19409	0.17529	0.17481	0.16148	0.16821	0.17774	0.1705	0.17151	0.20813	0.22642	0.25112	0.2837	0.25938	0.28883
2.792792792792793	0.18788	0.17147	0.17054	0.15944	0.16489	0.17617	0.16968	0.17126	0.2097	0.22657	0.25469	0.28774	0.26301	0.29339
2.786516853932584	0.17926	0.16494	0.16568	0.15306	0.15974	0.17098	0.1672	0.17024	0.20833	0.22631	0.25443	0.29037	0.26479	0.29694
2.780269058295964	0.17392	0.1601	0.16164	0.15028	0.15653	0.16969	0.16652	0.17089	0.20973	0.22873	0.257	0.29305	0.27105	0.30017
2.774049217002237	0.16746	0.15418	0.15605	0.14656	0.15175	0.16743	0.16463	0.16994	0.20944	0.22925	0.25738	0.29593	0.27256	0.30639
2.767857142857143	0.16177	0.14941	0.15198	0.143	0.15009	0.16436	0.16344	0.1697	0.21077	0.23052	0.26026	0.30043	0.27523	0.30944
2.761692650334076	0.15614	0.14519	0.14919	0.14038	0.147	0.16258	0.16282	0.17082	0.21169	0.23216	0.26434	0.3035	0.2799	0.31328
2.755555555555556	0.14967	0.14133	0.14428	0.13608	0.14376	0.16001	0.16173	0.17004	0.21332	0.23363	0.26527	0.30754	0.28344	0.31802
2.749445676274945	0.14434	0.13628	0.14104	0.13225	0.1401	0.15759	0.16145	0.16983	0.21339	0.23438	0.26717	0.31075	0.28636	0.32241
2.743362831858407	0.13935	0.13278	0.13756	0.13087	0.13864	0.15663	0.16135	0.17007	0.21548	0.23657	0.2703	0.31572	0.292	0.32672
2.737306843267108	0.13619	0.12955	0.1341	0.12777	0.13555	0.15367	0.16081	0.17108	0.21548	0.23688	0.27274	0.31852	0.29474	0.33219
2.731277533039647	0.1341	0.12766	0.13358	0.12684	0.13439	0.15474	0.16175	0.173	0.21902	0.24134	0.27615	0.32339	0.30096	0.33692
2.725274725274725	0.12904	0.12399	0.12812	0.12269	0.13154	0.15248	0.15974	0.17102	0.21806	0.24158	0.27769	0.32597	0.30301	0.34226
2.719298245614035	0.1257	0.11997	0.12663	0.12165	0.13069	0.15195	0.16042	0.17314	0.22009	0.24369	0.28123	0.33062	0.30639	0.34675
