energy	'P3HT=0'	'5'	'10'	'15'	'20'	'30'	'40'	'50'	'60'	'70'	'80'	'85'	'90'	'95'	'100'
3.009708737864078	0.13529	0.13919	0.14786	0.14672	0.15092	0.15832	0.20212	0.21589	0.21029	0.18315	0.17989	0.19122	0.18401	0.19341	0.19217
3.002421307506053	0.13658	0.14168	0.15032	0.14868	0.15245	0.16029	0.20421	0.21958	0.21426	0.18506	0.18383	0.19614	0.18811	0.19687	0.19472
2.995169082125604	0.13431	0.13976	0.14805	0.1475	0.1506	0.1592	0.20418	0.21776	0.21325	0.18581	0.18398	0.19634	0.18735	0.19875	0.19724
2.987951807228916	0.13617	0.14046	0.14923	0.14969	0.15252	0.1615	0.20738	0.22133	0.2156	0.18938	0.1874	0.20023	0.19262	0.20215	0.19971
2.980769230769231	0.13566	0.13905	0.14798	0.14987	0.1523	0.16136	0.2084	0.22078	0.21989	0.18955	0.18936	0.19999	0.1936	0.20358	0.20207
2.973621103117506	0.13373	0.13903	0.14684	0.14819	0.15153	0.16145	0.20687	0.22255	0.22035	0.19005	0.18987	0.20179	0.19666	0.20413	0.20372
2.966507177033493	0.13469	0.13989	0.14931	0.14989	0.15252	0.16326	0.20961	0.22545	0.22291	0.19225	0.19246	0.20482	0.19959	0.20868	0.2085
2.959427207637232	0.1357	0.14077	0.14942	0.1499	0.15375	0.16424	0.21134	0.22652	0.2246	0.19633	0.19561	0.20842	0.20224	0.21075	0.20958
2.952380952380953	0.13516	0.14036	0.14911	0.15081	0.15318	0.1644	0.21279	0.22764	0.2264	0.19714	0.19723	0.21138	0.20291	0.2145	0.21238
2.945368171021378	0.13573	0.14076	0.14897	0.15155	0.15416	0.16549	0.21466	0.23115	0.22981	0.19974	0.19901	0.2137	0.2061	0.21621	0.21396
2.938388625592417	0.13677	0.1423	0.14938	0.15293	0.15556	0.16711	0.2172	0.23419	0.23299	0.20271	0.20285	0.21566	0.20928	0.22064	0.21736
2.93144208037825	0.13731	0.14177	0.15101	0.15242	0.15749	0.168	0.2184	0.2359	0.23601	0.20399	0.20511	0.2171	0.21012	0.22229	0.2213
2.924528301886792	0.13914	0.14271	0.15221	0.15307	0.15773	0.16913	0.22068	0.23802	0.23879	0.20675	0.20699	0.22099	0.21372	0.22531	0.22211
2.917647058823529	0.13936	0.14391	0.15181	0.15418	0.15872	0.17004	0.22216	0.23973	0.24049	0.21005	0.20908	0.22403	0.21664	0.22787	0.22686
2.910798122065728	0.13938	0.14443	0.15354	0.15557	0.15927	0.17298	0.22498	0.24305	0.24373	0.21219	0.21103	0.22601	0.21929	0.23053	0.22931
2.903981264637002	0.13872	0.14493	0.15387	0.15552	0.16073	0.17368	0.22753	0.24459	0.24619	0.21322	0.21355	0.22908	0.22167	0.23254	0.23037
2.897196261682243	0.1399	0.14578	0.15326	0.15657	0.16052	0.17408	0.22893	0.24699	0.24789	0.2156	0.21532	0.23077	0.22398	0.2349	0.23512
2.89044289044289	0.14157	0.14614	0.15582	0.15856	0.1617	0.17677	0.23038	0.24899	0.25219	0.21875	0.21911	0.2336	0.22626	0.23807	0.23784
2.883720930232558	0.14293	0.14788	0.15822	0.16058	0.16497	0.17892	0.23436	0.25357	0.2564	0.22132	0.22278	0.23721	0.23166	0.24321	0.24112
2.877030162412993	0.14378	0.1482	0.15821	0.1625	0.16532	0.18021	0.23668	0.25611	0.25915	0.22446	0.22526	0.24148	0.23398	0.24626	0.24401
2.87037037037037	0.14482	0.14986	0.15949	0.16412	0.16768	0.18388	0.23945	0.25977	0.26315	0.22837	0.22862	0.24431	0.23803	0.25052	0.24754
2.863741339491917	0.14679	0.15149	0.16131	0.16524	0.16995	0.18501	0.24277	0.26309	0.26646	0.23146	0.23135	0.2478	0.24189	0.25495	0.2516
2.857142857142857	0.14756	0.1534	0.16243	0.16616	0.17071	0.18631	0.245	0.26575	0.26999	0.23392	0.23319	0.25133	0.24365	0.25586	0.25522
2.850574712643678	0.14763	0.15424	0.16363	0.16839	0.17225	0.18912	0.24855	0.26962	0.27294	0.23714	0.23686	0.25473	0.24725	0.25984	0.25805
2.844036697247706	0.14966	0.15507	0.16507	0.16976	0.1744	0.19115	0.25204	0.27154	0.27734	0.24036	0.24165	0.25861	0.25014	0.26341	0.26076
2.837528604118993	0.15103	0.15708	0.16766	0.17108	0.17591	0.19365	0.25455	0.2758	0.28093	0.24416	0.24354	0.26165	0.25421	0.268	0.26447
2.831050228310502	0.15399	0.15851	0.16887	0.17362	0.17828	0.19656	0.25805	0.28031	0.28522	0.24885	0.24846	0.26608	0.25854	0.27233	0.26856
2.824601366742597	0.15494	0.16068	0.17106	0.17598	0.18091	0.19983	0.26171	0.28448	0.28892	0.25214	0.2508	0.26985	0.26132	0.27632	0.27354
2.818181818181818	0.15702	0.16245	0.17156	0.17799	0.18172	0.2012	0.26482	0.28716	0.29299	0.25495	0.25418	0.27305	0.26602	0.27992	0.2779
2.811791383219955	0.15762	0.16316	0.17424	0.17939	0.18282	0.20286	0.26778	0.29022	0.29608	0.25807	0.25835	0.2768	0.26957	0.28357	0.28117
2.805429864253393	0.15995	0.16551	0.17705	0.1818	0.18608	0.20631	0.27251	0.29409	0.30055	0.26291	0.26235	0.28187	0.27355	0.28746	0.28452
2.799097065462754	0.16214	0.16926	0.17835	0.18437	0.1874	0.20893	0.27579	0.29908	0.30519	0.26569	0.26566	0.28542	0.27781	0.29178	0.28883
2.792792792792793	0.16473	0.17065	0.18132	0.18759	0.19126	0.21378	0.28122	0.30474	0.31019	0.27153	0.2704	0.29143	0.28257	0.29699	0.29339
2.786516853932584	0.16534	0.17182	0.18349	0.18848	0.193	0.21516	0.28367	0.30796	0.31394	0.27414	0.27338	0.29378	0.28524	0.30028	0.29694
2.780269058295964	0.1688	0.17577	0.18699	0.1921	0.19666	0.21868	0.2886	0.31284	0.31976	0.27874	0.2794	0.29844	0.29058	0.30532	0.30017
2.774049217002237	0.17048	0.17739	0.18756	0.19386	0.19713	0.22077	0.29208	0.31695	0.32404	0.28279	0.28157	0.3024	0.29503	0.30949	0.30639
2.767857142857143	0.17359	0.17905	0.19013	0.19738	0.20132	0.22454	0.29482	0.32174	0.32879	0.28669	0.28613	0.30644	0.29823	0.3135	0.30944
2.761692650334076	0.17609	0.18257	0.19342	0.20147	0.20441	0.22794	0.29964	0.32623	0.33369	0.29188	0.29033	0.31188	0.30264	0.31962	0.31328
2.755555555555556	0.17838	0.18525	0.1968	0.20284	0.20639	0.23097	0.30576	0.33218	0.33783	0.29443	0.29506	0.31614	0.30767	0.32361	0.31802
2.749445676274945	0.1792	0.1873	0.19838	0.20545	0.20864	0.23326	0.30875	0.33564	0.34223	0.30001	0.29735	0.32065	0.31212	0.32688	0.32241
2.743362831858407	0.18382	0.19159	0.20276	0.20957	0.21308	0.23755	0.31503	0.34143	0.34819	0.30441	0.30322	0.32531	0.31647	0.33292	0.32672
2.737306843267108	0.18627	0.19418	0.20467	0.21117	0.21498	0.2412	0.31843	0.34492	0.35142	0.30898	0.30688	0.33022	0.32153	0.3363	0.33219
2.731277533039647	0.19043	0.19995	0.2097	0.21633	0.22016	0.24551	0.32515	0.3529	0.35802	0.31364	0.31287	0.33588	0.32653	0.34332	0.33692
2.725274725274725	0.19263	0.19941	0.21164	0.21749	0.22181	0.24736	0.32816	0.35658	0.36073	0.31683	0.31608	0.33813	0.3298	0.3468	0.34226
2.719298245614035	0.19576	0.20315	0.215	0.22059	0.22527	0.25143	0.33324	0.36192	0.36712	0.3225	0.31987	0.34354	0.33495	0.35154	0.34675
2.713347921225383	0.20001	0.20686	0.21855	0.22536	0.22967	0.25509	0.33889	0.36658	0.37309	0.32738	0.32562	0.3492	0.33985	0.35724	0.35055
2.707423580786026	0.203	0.21112	0.22334	0.22969	0.23369	0.2603	0.3432	0.37342	0.37943	0.33251	0.33089	0.35503	0.34524	0.36227	0.35523
2.701525054466231	0.20716	0.21466	0.22626	0.23308	0.23714	0.26358	0.34908	0.38	0.38348	0.33694	0.33563	0.35917	0.35047	0.36653	0.36032
2.695652173913043	0.20946	0.21806	0.22975	0.23704	0.23871	0.26694	0.3534	0.38295	0.38858	0.34091	0.34042	0.36391	0.35452	0.37122	0.36598
2.689804772234273	0.21439	0.22236	0.23506	0.24166	0.24453	0.27149	0.3592	0.3903	0.39525	0.3475	0.34612	0.37039	0.36014	0.37818	0.36981
2.683982683982684	0.21839	0.22546	0.23785	0.24503	0.24765	0.27567	0.36411	0.39517	0.40008	0.35148	0.34876	0.37519	0.36546	0.38251	0.37628
2.678185745140389	0.2221	0.22977	0.24228	0.24797	0.25221	0.27966	0.37105	0.40194	0.40637	0.35664	0.35553	0.38031	0.37118	0.38845	0.37977
2.672413793103448	0.22632	0.23426	0.24641	0.25303	0.2555	0.28383	0.37557	0.40807	0.41182	0.36166	0.36009	0.38597	0.37678	0.39332	0.38599
2.666666666666667	0.22981	0.23828	0.25055	0.25682	0.25888	0.28736	0.38031	0.41415	0.41774	0.36709	0.36555	0.39045	0.38051	0.39938	0.39002
2.660944206008584	0.23157	0.24147	0.25366	0.26021	0.2618	0.29104	0.38643	0.41903	0.42329	0.37244	0.37075	0.3959	0.38558	0.40488	0.39638
2.65524625267666	0.23782	0.24711	0.25913	0.26587	0.26673	0.29763	0.39171	0.42623	0.42969	0.37938	0.37705	0.40371	0.39325	0.41159	0.40186
